sample;annotation
сладкий остров;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
SanBonsai;[(1, 10, 'B-BRAND')]
Royal Dairy;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Кореана;[(1, 8, 'B-BRAND')]
Soul in the bowl;[(1, 4, 'B-BRAND'), (5, 6, 'I-BRAND'), (7, 9, 'I-BRAND'), (10, 14, 'I-BRAND')]
ОАО Мелькомбинат;[(1, 3, 'B-BRAND'), (4, 16, 'I-BRAND')]
Кунгурское;[(1, 11, 'B-BRAND')]
ЩелковоХлеб;[(1, 12, 'B-BRAND')]
Rainbow;[(1, 8, 'B-BRAND')]
Гама;[(1, 5, 'B-BRAND')]
ОЗБИ;[(1, 5, 'B-BRAND')]
Андерсон;[(1, 9, 'B-BRAND')]
Dublin dairy;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Новоуральский мясной двор;[(1, 13, 'B-BRAND'), (14, 19, 'I-BRAND'), (20, 24, 'I-BRAND')]
Mueloliva y minerva s.l.;[(1, 9, 'B-BRAND'), (10, 10, 'I-BRAND'), (11, 17, 'I-BRAND'), (18, 22, 'I-BRAND')]
Budvar;[(1, 7, 'B-BRAND')]
Молоко;[(1, 7, 'B-BRAND')]
Шинка Деревенская;[(1, 5, 'B-BRAND'), (6, 17, 'I-BRAND')]
unagrande;[(1, 10, 'B-BRAND')]
асорти;[(1, 7, 'B-BRAND')]
Семейная Выгода;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
КремЮг;[(1, 7, 'B-BRAND')]
Berri;[(1, 6, 'B-BRAND')]
Koskenkorva;[(1, 12, 'B-BRAND')]
Таёжный дар;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
WEIHENSTEPHANER;[(1, 16, 'B-BRAND')]
Перекрёсток Маркет;[(1, 11, 'B-BRAND'), (12, 18, 'I-BRAND')]
Семейный повар;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Дамате, ООО ПензаМолИнвест;[(1, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 25, 'I-BRAND')]
Молочные правила;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
Broóke Bond;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Макер Перекрёсток;[(1, 5, 'B-BRAND'), (6, 17, 'I-BRAND')]
Сибирский Кедр;[(1, 9, 'B-BRAND'), (10, 14, 'I-BRAND')]
Крикен;[(1, 7, 'B-BRAND')]
Хлебозавод № 28;[(1, 10, 'B-BRAND'), (11, 11, 'I-BRAND'), (12, 14, 'I-BRAND')]
Danone;[(1, 7, 'B-BRAND')]
Клёв;[(1, 5, 'B-BRAND')]
Jumex;[(1, 6, 'B-BRAND')]
Экстра М;[(1, 6, 'B-BRAND'), (7, 8, 'I-BRAND')]
Хаме;[(1, 5, 'B-BRAND')]
ООО КомпанияАнгстрем Трейдинг, Националь;[(1, 3, 'B-BRAND'), (4, 19, 'I-BRAND'), (20, 28, 'I-BRAND'), (29, 38, 'I-BRAND')]
Big Comp;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
vego;[(1, 5, 'B-BRAND')]
La Explanada;[(1, 2, 'B-BRAND'), (3, 12, 'I-BRAND')]
Хороший День;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Хлебозавод №28;[(1, 10, 'B-BRAND'), (11, 14, 'I-BRAND')]
459235;[(1, 7, 'B-BRAND')]
Лавка 100;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Кубанский молочник;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Галичина;[(1, 9, 'B-BRAND')]
Никола;[(1, 7, 'B-BRAND')]
Мортадель;[(1, 10, 'B-BRAND')]
Золотая семечка;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Schönfeld;[(1, 10, 'B-BRAND')]
Европорм;[(1, 9, 'B-BRAND')]
Белева;[(1, 7, 'B-BRAND')]
Калина-Малина;[(1, 14, 'B-BRAND')]
O'zera;[(1, 7, 'B-BRAND')]
Клла;[(1, 5, 'B-BRAND')]
violetta;[(1, 9, 'B-BRAND')]
Сиб кол;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Лакомо;[(1, 7, 'B-BRAND')]
Светаево;[(1, 9, 'B-BRAND')]
АО Владимирский хлебокомбинат;[(1, 2, 'B-BRAND'), (3, 14, 'I-BRAND'), (15, 28, 'I-BRAND')]
Морской котик;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
золотой колосок, АО Владимирский хлебокомбинат;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND'), (16, 17, 'I-BRAND'), (18, 29, 'I-BRAND'), (30, 43, 'I-BRAND')]
Ильинские лимонады;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Золотой глобус;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Hh;[(1, 3, 'B-BRAND')]
Хрустец;[(1, 8, 'B-BRAND')]
Белевские сладости;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
фэмили фуд;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
Зулайбарака;[(1, 12, 'B-BRAND')]
ПиР-ПАК;[(1, 8, 'B-BRAND')]
EcoGreece;[(1, 10, 'B-BRAND')]
Фиш хаус;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Мистер лис;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
Dr.Max;[(1, 7, 'B-BRAND')]
Greenola;[(1, 9, 'B-BRAND')]
Европром;[(1, 9, 'B-BRAND')]
Зелёная усадьба,РК Акватория;[(1, 7, 'B-BRAND'), (8, 17, 'I-BRAND'), (18, 27, 'I-BRAND')]
бакалея 101;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Омские макароны;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Joya;[(1, 5, 'B-BRAND')]
Синявинское;[(1, 12, 'B-BRAND')]
Hy-Top;[(1, 7, 'B-BRAND')]
Camay;[(1, 6, 'B-BRAND')]
Наслада;[(1, 8, 'B-BRAND')]
Green Line;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Альпенгурт;[(1, 11, 'B-BRAND')]
Хлебозавод № 22;[(1, 10, 'B-BRAND'), (11, 11, 'I-BRAND'), (12, 14, 'I-BRAND')]
Рококо;[(1, 7, 'B-BRAND')]
Суперкид;[(1, 9, 'B-BRAND')]
Woogie;[(1, 7, 'B-BRAND')]
75;[(1, 3, 'B-BRAND')]
а'море;[(1, 7, 'B-BRAND')]
Alpen Gold,Mondelez;[(1, 5, 'B-BRAND'), (6, 19, 'I-BRAND')]
kaniville;[(1, 10, 'B-BRAND')]
Белый город;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
green-idea;[(1, 11, 'B-BRAND')]
Агрокомплекс Выселковский;[(1, 12, 'B-BRAND'), (13, 25, 'I-BRAND')]
ООО МДМ;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Скандинавия;[(1, 12, 'B-BRAND')]
Наше Дело;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Лео и Тиг;[(1, 3, 'B-BRAND'), (4, 4, 'I-BRAND'), (5, 8, 'I-BRAND')]
Таропрамен;[(1, 11, 'B-BRAND')]
костромское молоко;[(1, 11, 'B-BRAND'), (12, 18, 'I-BRAND')]
Чулымский МаслоСырЗавод;[(1, 9, 'B-BRAND'), (10, 23, 'I-BRAND')]
Coach;[(1, 6, 'B-BRAND')]
Пеко;[(1, 5, 'B-BRAND')]
ООО Фронери рус;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 14, 'I-BRAND')]
Рестория-шеф;[(1, 13, 'B-BRAND')]
Птицефабрика Томская;[(1, 12, 'B-BRAND'), (13, 20, 'I-BRAND')]
ООО Айсберри-ФМ;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
Завалинка;[(1, 10, 'B-BRAND')]
Chipster's;[(1, 11, 'B-BRAND')]
Кондитерская фабрика Золотая Русь;[(1, 12, 'B-BRAND'), (13, 19, 'I-BRAND'), (20, 26, 'I-BRAND'), (27, 31, 'I-BRAND')]
Фросток;[(1, 8, 'B-BRAND')]
Россия - Щедрая душа;[(1, 6, 'B-BRAND'), (7, 7, 'I-BRAND'), (8, 13, 'I-BRAND'), (14, 18, 'I-BRAND')]
Добрый,Мултон;[(1, 14, 'B-BRAND')]
Караваево;[(1, 10, 'B-BRAND')]
SlaSti;[(1, 7, 'B-BRAND')]
ООО Перфетти Ван Мелле;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 14, 'I-BRAND'), (15, 20, 'I-BRAND')]
Марс;[(1, 5, 'B-BRAND')]
Nescafe;[(1, 8, 'B-BRAND')]
Натуранчо;[(1, 10, 'B-BRAND')]
любимый;[(1, 8, 'B-BRAND')]
Cașcaval;[(1, 9, 'B-BRAND')]
Фру-фру;[(1, 8, 'B-BRAND')]
Ижмолоко;[(1, 9, 'B-BRAND')]
Южная рисовая компания;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND'), (13, 21, 'I-BRAND')]
Ярмолпрод;[(1, 10, 'B-BRAND')]
Компашки;[(1, 9, 'B-BRAND')]
Марианна;[(1, 9, 'B-BRAND')]
джуси;[(1, 6, 'B-BRAND')]
узкант;[(1, 7, 'B-BRAND')]
Индивидуальный предприниматель Парфенов Никита Альбертович;[(1, 14, 'B-BRAND'), (15, 29, 'I-BRAND'), (30, 37, 'I-BRAND'), (38, 43, 'I-BRAND'), (44, 55, 'I-BRAND')]
Мипаторг;[(1, 9, 'B-BRAND')]
Orecchio Oro;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Пухлый кролик;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Жигули Барное;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
Русское море;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Арту'Эль;[(1, 9, 'B-BRAND')]
Premiere of Taste;[(1, 8, 'B-BRAND'), (9, 10, 'I-BRAND'), (11, 16, 'I-BRAND')]
Missis Pickez, Zdravo Food;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND'), (14, 19, 'I-BRAND'), (20, 24, 'I-BRAND')]
Пеликан;[(1, 8, 'B-BRAND')]
Délisse;[(1, 8, 'B-BRAND')]
Sunfeel;[(1, 8, 'B-BRAND')]
Гудвилл;[(1, 8, 'B-BRAND')]
Бонфрэ;[(1, 7, 'B-BRAND')]
Сельская новь;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
Торговый дом МС;[(1, 8, 'B-BRAND'), (9, 11, 'I-BRAND'), (12, 14, 'I-BRAND')]
Perekrestok;[(1, 12, 'B-BRAND')]
Snack it;[(1, 5, 'B-BRAND'), (6, 8, 'I-BRAND')]
Юговской;[(1, 9, 'B-BRAND')]
Челны Холод;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Вектор;[(1, 7, 'B-BRAND')]
Бухта Изобилия;[(1, 5, 'B-BRAND'), (6, 14, 'I-BRAND')]
Перекресток;[(1, 12, 'B-BRAND')]
Село зелёное;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Сухогруз;[(1, 9, 'B-BRAND')]
Валдайский погребок;[(1, 10, 'B-BRAND'), (11, 19, 'I-BRAND')]
Ritter SPORT;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Greenfield;[(1, 11, 'B-BRAND')]
SusChocolate,Sus Group;[(1, 16, 'B-BRAND'), (17, 22, 'I-BRAND')]
Fresh Secret;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Kārums;[(1, 7, 'B-BRAND')]
Missis Pickez;[(1, 6, 'B-BRAND'), (7, 13, 'I-BRAND')]
ООО Фрут Джелло;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 14, 'I-BRAND')]
biscottini;[(1, 11, 'B-BRAND')]
Ларнета;[(1, 8, 'B-BRAND')]
ne moloko (ВкусВилл);[(1, 2, 'B-BRAND'), (3, 8, 'I-BRAND'), (9, 19, 'I-BRAND')]
ООО Старт, мясной гурман;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND'), (10, 15, 'I-BRAND'), (16, 22, 'I-BRAND')]
Россия щедрая душа;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND'), (13, 17, 'I-BRAND')]
Federici;[(1, 9, 'B-BRAND')]
Heinz,Хайнц;[(1, 12, 'B-BRAND')]
продукты-здорового-питания;[(1, 27, 'B-BRAND')]
абоба фабрика;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Молочный Мир;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Sweet life;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
АО Ярославский Бройлер;[(1, 2, 'B-BRAND'), (3, 13, 'I-BRAND'), (14, 21, 'I-BRAND')]
АО Белая Дача Трейдинг;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND'), (8, 11, 'I-BRAND'), (12, 20, 'I-BRAND')]
АО «ОМПК»;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
Mirrolla (Мирролла);[(1, 8, 'B-BRAND'), (9, 19, 'I-BRAND')]
Kellerberg;[(1, 11, 'B-BRAND')]
Zero Point Brewery;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND'), (10, 17, 'I-BRAND')]
Кубанец;[(1, 8, 'B-BRAND')]
ООО молокозавод Пестравский;[(1, 3, 'B-BRAND'), (4, 14, 'I-BRAND'), (15, 26, 'I-BRAND')]
Don'Semi;[(1, 9, 'B-BRAND')]
Greenwise;[(1, 10, 'B-BRAND')]
Flash UP;[(1, 5, 'B-BRAND'), (6, 8, 'I-BRAND')]
ООО Молпром;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
Село Зеленое;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Hypofree;[(1, 9, 'B-BRAND')]
Lotte, Lotte Chilsung Beverage Co.;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND'), (12, 19, 'I-BRAND'), (20, 27, 'I-BRAND'), (28, 31, 'I-BRAND')]
Ярославские сласти;[(1, 11, 'B-BRAND'), (12, 18, 'I-BRAND')]
Самое любимое;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Лука;[(1, 5, 'B-BRAND')]
Арго;[(1, 5, 'B-BRAND')]
Vepřové hody;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Hoegaarden;[(1, 11, 'B-BRAND')]
зеленая линия;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
CURTIS;[(1, 7, 'B-BRAND')]
3000;[(1, 5, 'B-BRAND')]
Белая птица;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Null Gramm;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Lucky Days;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
сдобри;[(1, 7, 'B-BRAND')]
Baykal;[(1, 7, 'B-BRAND')]
ИП Волков Анатолий Петрович;[(1, 2, 'B-BRAND'), (3, 8, 'I-BRAND'), (9, 16, 'I-BRAND'), (17, 25, 'I-BRAND')]
Петродиет;[(1, 10, 'B-BRAND')]
См ярче;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND')]
ABC;[(1, 4, 'B-BRAND')]
Котлетарь, Рубатки;[(1, 10, 'B-BRAND'), (11, 18, 'I-BRAND')]
Паста мама;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Лёвушка детям;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
голд тек;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
R.A.W life;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
180;[(1, 4, 'B-BRAND')]
шхуна;[(1, 6, 'B-BRAND')]
Racionika;[(1, 10, 'B-BRAND')]
TUC;[(1, 4, 'B-BRAND')]
Haday;[(1, 6, 'B-BRAND')]
KERLLI;[(1, 7, 'B-BRAND')]
Sunkist;[(1, 8, 'B-BRAND')]
заебись;[(1, 8, 'B-BRAND')]
Clever,ООО «Билла»;[(1, 10, 'B-BRAND'), (11, 18, 'I-BRAND')]
Icznia;[(1, 7, 'B-BRAND')]
Пакет картошки;[(1, 5, 'B-BRAND'), (6, 14, 'I-BRAND')]
Вологжанин;[(1, 11, 'B-BRAND')]
СООО БЕЛСЫР;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Белевский продукт;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Serious Snacks;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
ООО БЕСТ-ФРУТ;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND')]
Bit Com, Останкинский завод бараночных изделий, ОЗБИ;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND'), (8, 19, 'I-BRAND'), (20, 24, 'I-BRAND'), (25, 34, 'I-BRAND'), (35, 42, 'I-BRAND'), (43, 47, 'I-BRAND')]
Липтон;[(1, 7, 'B-BRAND')]
bite;[(1, 5, 'B-BRAND')]
Минская марка;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Секрет хозяйки;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
Ладные;[(1, 7, 'B-BRAND')]
Икра №1,Санта Бремор;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND'), (13, 19, 'I-BRAND')]
Amfood;[(1, 7, 'B-BRAND')]
absolut classic;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Зулай барака;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Здравушка;[(1, 10, 'B-BRAND')]
Московский картофель;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
Пивкомбинат Балаковский;[(1, 11, 'B-BRAND'), (12, 23, 'I-BRAND')]
Krutzel;[(1, 8, 'B-BRAND')]
actibruit;[(1, 10, 'B-BRAND')]
FreshTort;[(1, 10, 'B-BRAND')]
Молочное Приамурье;[(1, 8, 'B-BRAND'), (9, 18, 'I-BRAND')]
из Любовского,Северодвинск-Молоко,Любовское;[(1, 2, 'B-BRAND'), (3, 43, 'I-BRAND')]
Laime;[(1, 6, 'B-BRAND')]
ООО Восход;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Свежий ряд;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
Ильинское;[(1, 10, 'B-BRAND')]
Artigiano;[(1, 10, 'B-BRAND')]
Деревня Простоквашино,ГОСТОВ,Хладокомбинат №3;[(1, 7, 'B-BRAND'), (8, 41, 'I-BRAND'), (42, 44, 'I-BRAND')]
Медведь любимый;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Комос групп;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Al'cone;[(1, 8, 'B-BRAND')]
Dr.Bakers;[(1, 10, 'B-BRAND')]
Витацентр;[(1, 10, 'B-BRAND')]
Korovka;[(1, 8, 'B-BRAND')]
Беринг;[(1, 7, 'B-BRAND')]
Топаз;[(1, 6, 'B-BRAND')]
КИТЫ ЕДЫ;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
ООО КЭМП;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
ИП Емелин Владимир Павлович;[(1, 2, 'B-BRAND'), (3, 8, 'I-BRAND'), (9, 16, 'I-BRAND'), (17, 25, 'I-BRAND')]
Nestlé, Nesquik;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
ОАО Тейковский молочный завод;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND'), (14, 21, 'I-BRAND'), (22, 27, 'I-BRAND')]
робинзон;[(1, 9, 'B-BRAND')]
Семейное мороженое;[(1, 8, 'B-BRAND'), (9, 18, 'I-BRAND')]
Myllyn Paras;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
АрхангельскХлеб;[(1, 16, 'B-BRAND')]
Юг Руси;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND')]
NARUTO SHIPPUDEN;[(1, 6, 'B-BRAND'), (7, 16, 'I-BRAND')]
Фабрика Качества;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Mr. Djemius;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
ООО 'Кондитерское объединение Славянка';[(1, 3, 'B-BRAND'), (4, 16, 'I-BRAND'), (17, 27, 'I-BRAND'), (28, 37, 'I-BRAND')]
TREST «B»;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Рыбное меню;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Fit Go,Úsovsko food;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND'), (14, 18, 'I-BRAND')]
La Paulina, Еланский сыродельный комбинат;[(1, 2, 'B-BRAND'), (3, 10, 'I-BRAND'), (11, 18, 'I-BRAND'), (19, 29, 'I-BRAND'), (30, 38, 'I-BRAND')]
Аква Fresh;[(1, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]
Светлояр;[(1, 9, 'B-BRAND')]
Ближние горки;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Корона-ФУД,Mr.Food;[(1, 19, 'B-BRAND')]
Иван поле;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Чистая крупа;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Casademont;[(1, 11, 'B-BRAND')]
Vreau Din Romania;[(1, 5, 'B-BRAND'), (6, 8, 'I-BRAND'), (9, 16, 'I-BRAND')]
amfood;[(1, 7, 'B-BRAND')]
Ореховая Долина;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
Protein rex;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Тихвинский;[(1, 11, 'B-BRAND')]
Mario Parmigiani;[(1, 5, 'B-BRAND'), (6, 16, 'I-BRAND')]
Ростагроэкспорт;[(1, 16, 'B-BRAND')]
Премиум Экспресс;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
land o lakes;[(1, 4, 'B-BRAND'), (5, 5, 'I-BRAND'), (6, 11, 'I-BRAND')]
Конфаэль;[(1, 9, 'B-BRAND')]
LS COSMETIC;[(1, 2, 'B-BRAND'), (3, 11, 'I-BRAND')]
элит;[(1, 5, 'B-BRAND')]
PREZIDENT;[(1, 10, 'B-BRAND')]
max factor;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Нижегородский Хлеб;[(1, 13, 'B-BRAND'), (14, 18, 'I-BRAND')]
Ritter Sport, Ritter Sport Bunte Vielfalt;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND'), (13, 18, 'I-BRAND'), (19, 23, 'I-BRAND'), (24, 28, 'I-BRAND'), (29, 37, 'I-BRAND')]
Компас Здоровья;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
RedBull;[(1, 8, 'B-BRAND')]
Тема;[(1, 5, 'B-BRAND')]
Tako samurai;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Mondeléz;[(1, 9, 'B-BRAND')]
Экопродукт;[(1, 11, 'B-BRAND')]
Artes,Artes SPC;[(1, 11, 'B-BRAND'), (12, 15, 'I-BRAND')]
Саратовское;[(1, 12, 'B-BRAND')]
Little Devil;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
1 вкус;[(1, 1, 'B-BRAND'), (2, 6, 'I-BRAND')]
Перекрёсток Select;[(1, 11, 'B-BRAND'), (12, 18, 'I-BRAND')]
somersby;[(1, 9, 'B-BRAND')]
Кухмастер;[(1, 10, 'B-BRAND')]
БАЙКАЛ;[(1, 7, 'B-BRAND')]
PRESIDENT;[(1, 10, 'B-BRAND')]
THE COFFEE HOUSE 1908;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND'), (10, 14, 'I-BRAND'), (15, 19, 'I-BRAND')]
Галерея источников #4;[(1, 7, 'B-BRAND'), (8, 17, 'I-BRAND'), (18, 20, 'I-BRAND')]
Gallina Blanca;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Close Des Ducs;[(1, 5, 'B-BRAND'), (6, 8, 'I-BRAND'), (9, 13, 'I-BRAND')]
